source,reference,method,dataset,label_setup,validation,accuracy,macro_f1,notes
literature,Li et al. 2018 (STSTNet),3D-CNN multi-stream,CASME-II,individual emotions,LOSO,0.63,,Update from client Papers folder
literature,Vivian et al. 2019 (ME recognition survey),hand-crafted + CNN,CASME-II,3-class grouped,LOSO,0.58,,Illustrative — verify against paper
literature,Example Transformer MER,CNN + Transformer,CASME-II,3-class grouped,LOSO,0.65,,Replace with exact paper client shares
literature,Target dissertation goal,proposed unified pipeline,CASME-II,3-class grouped,LOSO,0.7,0.68,Client target for final project phase
this_project,config_1_pure_base__no_evm__no_simam__no_3dcnn__no_transformer,ablation_config,CASME-II,,holdout,0.6667,0.3133,Generated by MER Initial Project
this_project,config_3_spatial_only__no_evm__no_simam__WITH_3dcnn__no_transformer,ablation_config,CASME-II,,holdout,0.7436,0.427,Generated by MER Initial Project
this_project,config_7_full_no_attention__WITH_evm__no_simam__WITH_3dcnn__WITH_transformer,ablation_config,CASME-II,,holdout,0.6667,0.3977,Generated by MER Initial Project
this_project,config_8_proposed_unified__WITH_evm__WITH_simam__WITH_3dcnn__WITH_transformer,ablation_config,CASME-II,,holdout,0.6154,0.3154,Generated by MER Initial Project
